t,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_17,sensor_20,sensor_21
1,641.89,1583.84,1391.28,554.53,46.93,522.33,8.3905,391,38.94,23.4585
2,641.82,1587.05,1393.13,554.77,47.24,522.70,8.4167,392,39.06,23.4085
3,641.55,1588.32,1398.96,555.14,47.22,522.58,8.3802,391,39.11,23.4250
4,641.68,1584.15,1396.08,554.25,47.10,522.49,8.4018,391,39.13,23.5027
5,641.73,1579.03,1402.52,555.12,47.25,522.27,8.3867,390,39.18,23.4234
6,641.30,1577.50,1396.76,554.98,47.05,522.80,8.3800,392,39.15,23.4270
7,642.03,1587.49,1400.65,554.84,47.10,522.14,8.3941,391,39.10,23.4718
8,642.55,1590.41,1395.39,554.65,47.20,522.77,8.3861,391,39.11,23.4381
9,641.98,1581.99,1395.01,554.69,47.14,522.40,8.3868,390,39.06,23.4875
10,641.99,1586.37,1394.86,554.63,47.21,521.99,8.3982,391,39.20,23.6005
11,642.26,1589.21,1401.29,554.70,47.21,522.20,8.4188,392,39.23,23.3888
12,641.64,1579.99,1401.90,554.57,47.13,521.94,8.3925,392,39.12,23.4201
13,641.78,1586.77,1401.53,554.69,47.03,522.33,8.3742,391,38.88,23.4317
14,641.66,1584.04,1395.46,554.47,47.12,523.07,8.3887,391,38.93,23.4074
15,642.21,1579.84,1402.11,554.17,47.17,521.96,8.3704,393,38.94,23.4311
16,641.81,1581.99,1393.46,554.53,47.24,522.49,8.3805,392,39.01,23.4462
17,642.43,1583.58,1390.27,553.62,47.13,522.71,8.3714,391,39.04,23.5245
18,641.95,1588.43,1400.25,554.83,47.22,522.92,8.4053,391,39.00,23.4203
19,641.75,1576.84,1401.77,555.25,47.14,522.38,8.4035,392,39.10,23.4102
20,642.34,1582.94,1394.38,554.64,47.14,522.54,8.3698,391,39.02,23.3821
21,642.05,1579.51,1392.28,554.72,47.04,522.58,8.3954,391,39.24,23.5014
22,642.16,1580.18,1397.67,554.35,47.17,521.73,8.3792,391,38.98,23.4241
23,642.37,1580.89,1387.50,554.69,47.21,522.26,8.3937,393,39.10,23.2867
24,641.99,1580.97,1398.67,553.50,47.15,522.25,8.3866,391,39.18,23.3981
25,641.81,1585.38,1396.62,554.14,47.19,522.31,8.3959,391,38.99,23.4883
26,641.87,1575.38,1392.30,554.03,47.12,522.80,8.3472,391,38.96,23.4691
27,642.12,1585.44,1402.31,555.16,47.03,522.11,8.4077,392,38.96,23.4275
28,642.04,1581.60,1397.45,554.77,46.99,522.68,8.3734,390,38.95,23.4395
29,642.08,1583.78,1398.08,554.75,47.11,522.26,8.3700,390,38.97,23.4249
30,641.78,1590.32,1395.07,554.62,47.20,522.43,8.4190,391,39.10,23.3985
31,641.97,1579.86,1390.94,554.80,47.05,522.17,8.4393,391,39.17,23.4154
32,641.58,1584.52,1391.11,554.56,47.12,522.54,8.3783,390,38.97,23.4006
33,641.79,1585.17,1396.15,553.62,47.09,522.26,8.4102,392,39.01,23.4434
34,642.12,1584.08,1394.24,555.09,47.22,522.64,8.4188,390,38.87,23.4571
35,641.37,1575.73,1392.55,554.73,47.25,522.00,8.4164,394,39.06,23.5283
36,641.27,1581.56,1397.13,554.59,47.21,522.32,8.3709,391,39.12,23.3881
37,642.10,1585.63,1396.29,555.01,47.16,522.69,8.3609,391,39.08,23.4047
38,642.22,1585.15,1397.75,554.21,47.22,522.13,8.4069,390,39.09,23.4191
39,642.00,1585.69,1391.49,554.05,47.20,522.79,8.3755,391,39.02,23.4489
40,642.02,1582.69,1398.38,554.07,47.22,522.30,8.4010,391,38.84,23.4402
41,642.41,1578.97,1398.74,554.34,47.26,522.22,8.3856,392,38.94,23.3071
42,642.27,1579.21,1392.13,553.98,47.14,522.87,8.3449,392,39.08,23.4631
43,642.02,1580.59,1391.60,554.14,47.08,522.90,8.4144,392,38.92,23.4966
44,642.01,1584.33,1398.69,554.16,47.22,522.77,8.4087,392,39.03,23.4546
45,642.05,1586.41,1397.60,554.20,47.17,522.27,8.3847,390,38.99,23.4284
46,642.15,1575.45,1392.60,554.54,47.19,522.08,8.3994,390,38.93,23.5041
47,642.40,1583.85,1396.46,554.96,47.03,522.73,8.3756,391,38.89,23.3447
48,642.09,1586.71,1397.95,554.67,47.18,522.41,8.3821,392,39.23,23.4336
49,642.85,1583.86,1396.50,554.04,47.18,522.83,8.4024,390,39.17,23.4871
50,642.02,1577.86,1399.78,554.73,47.16,522.16,8.4042,391,39.10,23.3530
51,642.03,1585.34,1393.06,555.02,47.03,522.34,8.3731,392,38.90,23.3239
52,641.52,1588.48,1401.66,554.76,47.09,522.58,8.4064,392,39.08,23.3668
53,642.00,1584.90,1397.09,554.33,46.98,522.73,8.4110,391,38.95,23.5307
54,641.58,1583.46,1405.33,554.42,47.10,522.48,8.4057,392,39.13,23.3626
55,642.33,1585.59,1387.16,554.54,47.18,522.70,8.4077,392,39.11,23.3779
56,641.84,1587.04,1388.97,554.72,47.03,522.10,8.3930,391,39.10,23.3796
57,642.50,1584.13,1389.62,553.87,47.17,521.98,8.4008,391,39.23,23.4544
58,642.30,1582.93,1389.91,554.46,47.30,522.24,8.3731,391,39.15,23.3861
59,642.48,1584.24,1397.95,554.60,47.17,522.78,8.4036,391,39.04,23.4347
60,642.09,1584.57,1396.84,554.06,47.12,521.93,8.4003,393,39.11,23.3928
61,642.41,1585.45,1399.71,555.08,47.09,522.69,8.4006,391,39.04,23.2745
62,641.81,1577.87,1401.66,554.52,47.27,521.78,8.4193,391,39.23,23.4442
63,641.91,1575.83,1395.05,554.63,47.17,522.15,8.3867,392,38.98,23.3250
64,641.66,1581.65,1401.46,554.93,47.11,522.18,8.4144,391,39.07,23.3980
65,641.70,1582.59,1395.40,554.28,47.34,522.52,8.4128,391,38.92,23.3455
66,642.26,1584.60,1394.01,554.11,47.17,522.65,8.4121,392,39.00,23.4260
67,642.17,1587.63,1395.44,554.99,46.96,522.58,8.3761,393,39.02,23.3933
68,642.50,1577.16,1399.27,554.07,47.16,522.20,8.4141,392,38.97,23.4076
69,642.73,1586.47,1399.73,554.35,47.33,522.21,8.4116,392,39.09,23.3783
70,641.76,1593.24,1397.30,554.47,47.26,522.17,8.4118,392,39.06,23.3894
71,642.39,1586.68,1403.09,555.01,47.24,522.02,8.3993,392,38.92,23.3170
72,642.48,1583.11,1393.85,554.54,47.19,522.40,8.4012,392,39.12,23.4393
73,641.73,1586.57,1400.98,554.41,47.15,522.95,8.3896,390,38.94,23.4567
74,642.39,1584.04,1396.13,555.36,47.25,521.97,8.3932,391,39.07,23.4015
75,641.64,1578.27,1390.64,555.45,47.09,522.54,8.3944,392,38.99,23.4210
76,642.01,1586.91,1399.66,554.05,46.99,522.08,8.3629,392,38.88,23.4591
77,641.97,1588.54,1395.38,554.06,46.95,522.36,8.4399,392,39.01,23.4969
78,642.44,1587.20,1394.24,554.83,47.12,522.57,8.4018,391,38.96,23.5367
79,641.62,1585.59,1398.51,554.19,47.23,522.26,8.3931,390,39.15,23.2873
80,641.37,1588.33,1394.00,554.94,47.20,523.26,8.3889,391,38.95,23.4198
81,641.72,1578.31,1390.12,555.25,47.25,522.62,8.4162,391,39.08,23.4685
82,641.86,1587.24,1402.78,554.17,47.19,522.30,8.3428,391,39.17,23.4491
83,641.73,1585.18,1398.81,554.18,47.13,523.13,8.3997,390,39.00,23.4056
84,642.41,1586.46,1402.26,554.86,47.29,522.75,8.3940,392,38.95,23.4055
85,641.73,1588.31,1398.33,554.50,47.19,522.63,8.3954,391,39.13,23.4072
