t,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_17,sensor_20,sensor_21
1,641.82,1589.70,1400.60,554.36,47.47,521.66,8.4195,392,39.06,23.4190
2,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318,392,39.00,23.4236
3,642.35,1587.99,1404.20,554.26,47.27,522.42,8.4178,390,38.95,23.3442
4,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682,392,38.88,23.3739
5,642.37,1582.85,1406.22,554.00,47.28,522.19,8.4294,393,38.90,23.4044
6,642.10,1584.47,1398.37,554.67,47.16,521.68,8.4108,391,38.98,23.3669
7,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974,392,39.10,23.3774
8,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076,391,38.97,23.3106
9,642.12,1590.98,1394.80,553.69,47.29,521.79,8.3728,392,39.05,23.4066
10,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286,393,38.95,23.4694
11,642.28,1581.75,1400.64,554.54,47.15,521.40,8.4340,392,38.94,23.4787
12,642.06,1583.41,1400.15,554.52,47.18,521.80,8.3938,391,39.06,23.3660
13,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152,393,38.93,23.2757
14,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964,393,39.18,23.3826
15,642.43,1583.82,1402.13,553.64,47.30,522.50,8.4199,391,38.99,23.3500
16,642.13,1587.98,1404.50,553.94,47.24,521.49,8.3936,392,38.97,23.4550
17,642.58,1584.96,1399.95,553.80,47.12,521.89,8.4542,392,38.81,23.3319
18,642.62,1591.04,1396.12,554.20,47.21,521.76,8.4028,392,38.89,23.3987
19,641.79,1587.56,1400.35,554.18,47.40,521.89,8.4321,391,38.80,23.3464
20,643.04,1581.11,1405.23,554.81,47.22,522.07,8.4210,392,39.03,23.4220
21,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049,392,39.09,23.3101
22,642.77,1592.93,1400.57,553.63,47.24,522.00,8.4034,392,38.92,23.3792
23,642.14,1588.19,1394.75,553.98,47.25,521.52,8.4240,392,38.94,23.4562
24,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891,392,39.00,23.3696
25,642.77,1594.10,1399.39,554.00,47.36,522.56,8.3917,393,38.95,23.4288
26,642.16,1589.08,1396.07,554.11,47.26,522.28,8.4260,394,38.86,23.4149
27,642.44,1590.47,1401.84,554.07,47.37,522.00,8.4046,393,38.99,23.4472
28,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323,390,39.01,23.2841
29,641.91,1584.83,1400.99,554.25,47.24,522.41,8.4189,393,38.93,23.3597
30,642.20,1593.52,1396.08,554.37,47.40,522.19,8.4065,390,39.05,23.4110
31,642.02,1584.18,1396.90,554.13,47.41,521.95,8.4104,392,38.94,23.3353
32,642.33,1591.38,1400.36,554.96,47.25,521.92,8.4148,392,39.02,23.4999
33,642.71,1588.40,1402.43,554.61,47.28,521.91,8.3753,392,38.83,23.3506
34,642.54,1581.47,1400.48,554.30,47.47,521.70,8.4349,392,38.81,23.3092
35,642.44,1590.00,1403.00,554.30,47.31,521.75,8.4430,391,39.13,23.4164
36,642.54,1581.72,1405.54,554.53,47.25,522.32,8.4246,392,38.86,23.4308
37,641.99,1579.11,1398.90,554.63,47.29,522.29,8.4142,392,38.99,23.4352
38,641.93,1589.60,1399.50,554.70,47.27,522.42,8.4158,392,39.06,23.4768
39,642.01,1583.21,1400.69,553.97,47.12,522.23,8.4140,392,38.70,23.3699
40,642.24,1582.08,1401.77,554.57,47.33,521.84,8.3784,392,38.84,23.3769
41,642.40,1591.31,1403.21,553.72,47.09,522.07,8.4370,392,39.13,23.4444
42,642.12,1584.66,1401.38,553.94,47.49,522.23,8.4137,392,39.00,23.3750
43,642.24,1591.52,1406.05,553.68,47.32,522.74,8.4068,392,38.99,23.3148
44,641.93,1586.94,1401.20,554.15,47.45,522.30,8.4201,392,39.06,23.4753
45,642.53,1582.42,1399.16,553.83,47.45,521.73,8.4099,393,38.79,23.3943
46,642.43,1588.29,1401.27,553.76,47.20,522.02,8.3977,393,38.93,23.3745
47,642.21,1580.32,1402.89,554.38,47.22,521.84,8.3973,392,38.99,23.4873
48,641.89,1588.51,1399.16,554.02,47.40,521.91,8.4376,392,38.94,23.3650
49,642.23,1584.35,1397.76,554.23,47.22,521.37,8.4151,392,39.06,23.4498
50,642.77,1588.49,1403.62,553.92,47.47,522.33,8.4116,392,38.85,23.4106
51,642.81,1585.54,1400.42,553.73,47.12,521.91,8.4504,393,38.94,23.3651
52,642.76,1583.77,1395.57,553.04,47.07,522.10,8.4539,391,39.00,23.3388
53,642.61,1579.82,1402.26,554.16,47.29,521.96,8.4418,392,38.90,23.3775
54,642.42,1592.59,1401.20,553.95,47.38,522.44,8.4189,392,38.96,23.2348
55,642.41,1584.95,1401.58,554.45,47.40,522.11,8.4071,392,39.06,23.3567
56,642.49,1586.33,1400.76,553.98,47.26,522.48,8.4022,391,38.68,23.3408
57,642.13,1583.67,1402.79,553.42,47.29,521.62,8.4263,392,38.84,23.3567
